,home_team,away_team,tournament,country,dayofweek,weekofyear,month,year,home_ratio_win,home_ratio_win_fifa,home_median_score,home_median_fifa_score,away_ratio_win,away_ratio_win_fifa,away_median_score,away_median_fifa_score,summary_ratio_win,summary_ratio_win_fifa,summary_median_score,summary_median_fifa_score,home_games,home_wins,home_looses,home_draws,away_games,away_wins,away_looses,away_draws,home_ratio_win_shootouts,away_ratio_win_shootouts,home_confederation,home_last_rank,home_last_points,away_confederation,away_last_rank,away_last_points
0,Qatar,Ecuador,FIFA World Cup,Qatar,0,47,11,2022,0.39447731755424065,0.0,1.0,0.0,0.2968421052631579,0.4,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,AFC,51,1441.41,CONMEBOL,46,1452.63
1,Senegal,Netherlands,FIFA World Cup,Qatar,0,47,11,2022,0.4419889502762431,0.375,1.0,1.5,0.4732142857142857,0.5208333333333334,1.0,2.0,0.3333333333333333,0.0,1.0,0.0,2.5,0.3589743589743589,0.24038461538461536,0.1,3.0,0.5,0.05555555555555555,0.26785714285714285,0.5294117647058824,0.2222222222222222,CAF,20,1584.16,UEFA,10,1658.66
2,England,Iran,FIFA World Cup,Qatar,0,47,11,2022,0.5113895216400911,0.4153846153846154,1.0,1.0,0.5087719298245614,0.13333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.5,0.5811688311688312,0.0238095238095238,0.30952380952380953,2.0,0.0,0.5,0.0909090909090909,0.2727272727272727,0.3888888888888889,UEFA,5,1761.71,AFC,21,1564.49
3,United States,Wales,FIFA World Cup,Qatar,0,47,11,2022,0.4185303514376997,0.26666666666666666,1.0,1.0,0.3157894736842105,0.2,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,5.0,0.1666666666666666,0.5294117647058824,0.1,0.5714285714285714,0.0,CONCACAF,15,1633.72,UEFA,18,1588.08
4,France,Australia,FIFA World Cup,Qatar,1,47,11,2022,0.47240915208613726,0.43636363636363634,1.0,1.0,0.4420131291028446,0.13333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.0,0.6,0.2,0.2,5.0,0.6,0.2,0.2,0.4444444444444444,0.625,UEFA,4,1764.85,AFC,42,1462.29
5,Denmark,Tunisia,FIFA World Cup,Qatar,1,47,11,2022,0.42334739803094235,0.42105263157894735,1.0,1.0,0.3942652329749104,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.6,UEFA,11,1653.6,CAF,35,1499.8
6,Mexico,Poland,FIFA World Cup,Qatar,1,47,11,2022,0.4656679151061174,0.3,1.0,1.0,0.4049247606019152,0.4827586206896552,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,9.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46153846153846156,0.6666666666666666,CONCACAF,9,1658.82,UEFA,26,1544.2
7,Argentina,Saudi Arabia,FIFA World Cup,Qatar,1,47,11,2022,0.49193548387096775,0.5,1.0,1.0,0.448943661971831,0.23076923076923078,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,0.5,0.0,0.5,4.0,0.5,0.0,0.5,0.6,1.0,CONMEBOL,4,1765.13,AFC,49,1444.69
8,Belgium,Canada,FIFA World Cup,Qatar,2,47,11,2022,0.43004418262150224,0.4222222222222222,1.0,1.0,0.3545706371191136,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,UEFA,2,1821.92,CONCACAF,38,1479.0
9,Spain,Costa Rica,FIFA World Cup,Qatar,2,47,11,2022,0.5380952380952381,0.4666666666666667,1.0,1.0,0.39399293286219084,0.3125,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.6666666666666666,0.0,0.3333333333333333,3.0,0.6666666666666666,0.0,0.3333333333333333,0.5454545454545454,0.2222222222222222,UEFA,7,1709.19,CONCACAF,31,1503.09
10,Germany,Japan,FIFA World Cup,Qatar,2,47,11,2022,0.5307881773399015,0.5666666666666667,2.0,1.0,0.42495784148397975,0.23809523809523808,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,2.0,0.5,0.0,0.5,2.0,0.5,0.0,0.5,0.75,0.45454545454545453,UEFA,12,1650.53,AFC,23,1553.44
11,Morocco,Croatia,FIFA World Cup,Qatar,2,47,11,2022,0.44507575757575757,0.125,1.0,0.5,0.5015974440894568,0.5,1.0,1.5,0.3333333333333333,0.0,1.0,0.0,3.0,0.25,0.5,0.1428571428571428,5.5,0.4,0.3333333333333333,0.2,0.3333333333333333,0.5714285714285714,CAF,24,1551.88,UEFA,16,1621.11
12,Switzerland,Cameroon,FIFA World Cup,Qatar,3,47,11,2022,0.34221598877980364,0.3235294117647059,1.0,1.0,0.42234848484848486,0.19047619047619047,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.2222222222222222,0.3333333333333333,0.2857142857142857,3.0,0.0,0.6666666666666666,0.25,0.2857142857142857,0.5333333333333333,UEFA,14,1635.32,CAF,37,1480.48
13,Uruguay,South Korea,FIFA World Cup,Qatar,3,47,11,2022,0.4163568773234201,0.3958333333333333,1.0,1.0,0.49370277078085645,0.2,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,8.0,0.75,0.125,0.125,8.0,0.75,0.125,0.125,0.4666666666666667,0.5909090909090909,CONMEBOL,13,1635.73,AFC,29,1519.54
14,Portugal,Ghana,FIFA World Cup,Qatar,3,47,11,2022,0.46236559139784944,0.4444444444444444,1.0,1.0,0.4363001745200698,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.38461538461538464,UEFA,8,1674.78,CAF,60,1387.36
15,Brazil,Serbia,FIFA World Cup,Qatar,3,47,11,2022,0.5924617196702002,0.6195652173913043,2.0,2.0,0.42124542124542125,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.0,0.8,0.0,0.2,5.0,0.8,0.0,0.2,0.6666666666666666,0.3333333333333333,CONMEBOL,1,1832.69,UEFA,25,1547.53
16,Wales,Iran,FIFA World Cup,Qatar,4,47,11,2022,0.3157894736842105,0.2,1.0,1.0,0.5087719298245614,0.13333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3888888888888889,UEFA,18,1588.08,AFC,21,1564.49
17,Qatar,Senegal,FIFA World Cup,Qatar,4,47,11,2022,0.39447731755424065,0.0,1.0,0.0,0.4419889502762431,0.375,1.0,1.5,0.3333333333333333,0.0,1.0,0.0,2.0,0.06818181818181815,0.6742424242424242,0.0,2.5,0.3589743589743589,0.24038461538461536,0.1,0.5,0.5294117647058824,AFC,51,1441.41,CAF,20,1584.16
18,Netherlands,Ecuador,FIFA World Cup,Qatar,4,47,11,2022,0.4732142857142857,0.5208333333333334,1.0,2.0,0.2968421052631579,0.4,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,2.0,0.5,0.0,0.5,2.0,0.5,0.0,0.5,0.2222222222222222,0.6666666666666666,UEFA,10,1658.66,CONMEBOL,46,1452.63
19,England,United States,FIFA World Cup,Qatar,4,47,11,2022,0.5113895216400911,0.4153846153846154,1.0,1.0,0.4185303514376997,0.26666666666666666,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.5,0.5811688311688312,0.0238095238095238,0.30952380952380953,4.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.2727272727272727,0.5714285714285714,UEFA,5,1761.71,CONCACAF,15,1633.72
20,Tunisia,Australia,FIFA World Cup,Qatar,5,47,11,2022,0.3942652329749104,0.14285714285714285,1.0,0.5,0.4420131291028446,0.13333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.625,CAF,35,1499.8,AFC,42,1462.29
21,Poland,Saudi Arabia,FIFA World Cup,Qatar,5,47,11,2022,0.4049247606019152,0.4827586206896552,1.0,1.0,0.448943661971831,0.23076923076923078,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.6666666666666666,1.0,UEFA,26,1544.2,AFC,49,1444.69
22,France,Denmark,FIFA World Cup,Qatar,5,47,11,2022,0.47240915208613726,0.43636363636363634,1.0,1.0,0.42334739803094235,0.42105263157894735,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,15.0,0.5333333333333333,0.3333333333333333,0.1333333333333333,15.0,0.5333333333333333,0.3333333333333333,0.1333333333333333,0.4444444444444444,0.3333333333333333,UEFA,4,1764.85,UEFA,11,1653.6
23,Argentina,Mexico,FIFA World Cup,Qatar,5,47,11,2022,0.49193548387096775,0.5,1.0,1.0,0.4656679151061174,0.3,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,0.6458333333333333,0.1428571428571428,0.16233766233766228,6.0,0.3333333333333333,0.4,0.1666666666666666,0.6,0.46153846153846156,CONMEBOL,4,1765.13,CONCACAF,9,1658.82
24,Japan,Costa Rica,FIFA World Cup,Qatar,6,47,11,2022,0.42495784148397975,0.23809523809523808,1.0,1.0,0.39399293286219084,0.3125,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,0.75,0.0,0.25,4.0,0.75,0.0,0.25,0.45454545454545453,0.2222222222222222,AFC,23,1553.44,CONCACAF,31,1503.09
25,Belgium,Morocco,FIFA World Cup,Qatar,6,47,11,2022,0.43004418262150224,0.4222222222222222,1.0,1.0,0.44507575757575757,0.125,1.0,0.5,0.3333333333333333,0.0,1.0,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,UEFA,2,1821.92,CAF,24,1551.88
26,Croatia,Canada,FIFA World Cup,Qatar,6,47,11,2022,0.5015974440894568,0.5,1.0,1.5,0.3545706371191136,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,5.5,0.4,0.3333333333333333,0.2,1.5,0.0,1.0,0.0,0.5714285714285714,0.5,UEFA,16,1621.11,CONCACAF,38,1479.0
27,Spain,Germany,FIFA World Cup,Qatar,6,47,11,2022,0.5380952380952381,0.4666666666666667,1.0,1.0,0.5307881773399015,0.5666666666666667,2.0,1.0,0.3333333333333333,0.0,1.0,0.0,6.0,0.6666666666666666,0.0,0.1818181818181818,4.0,0.6666666666666666,0.0,0.2,0.5454545454545454,0.75,UEFA,7,1709.19,UEFA,12,1650.53
28,Cameroon,Serbia,FIFA World Cup,Qatar,0,48,11,2022,0.42234848484848486,0.19047619047619047,1.0,1.0,0.42124542124542125,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5333333333333333,0.3333333333333333,CAF,37,1480.48,UEFA,25,1547.53
29,South Korea,Ghana,FIFA World Cup,Qatar,0,48,11,2022,0.49370277078085645,0.2,1.0,1.0,0.4363001745200698,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,6.0,0.5,0.5,0.0,6.0,0.5,0.5,0.0,0.5909090909090909,0.38461538461538464,AFC,29,1519.54,CAF,60,1387.36
30,Brazil,Switzerland,FIFA World Cup,Qatar,0,48,11,2022,0.5924617196702002,0.6195652173913043,2.0,2.0,0.34221598877980364,0.3235294117647059,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,9.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,9.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.2857142857142857,CONMEBOL,1,1832.69,UEFA,14,1635.32
31,Portugal,Uruguay,FIFA World Cup,Qatar,0,48,11,2022,0.46236559139784944,0.4444444444444444,1.0,1.0,0.4163568773234201,0.3958333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.4666666666666667,UEFA,8,1674.78,CONMEBOL,13,1635.73
32,Wales,England,FIFA World Cup,Qatar,1,48,11,2022,0.3157894736842105,0.2,1.0,1.0,0.5113895216400911,0.4153846153846154,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.0,0.1666666666666666,0.5294117647058824,0.1,5.5,0.5811688311688312,0.0238095238095238,0.30952380952380953,0.0,0.2727272727272727,UEFA,18,1588.08,UEFA,5,1761.71
33,Iran,United States,FIFA World Cup,Qatar,1,48,11,2022,0.5087719298245614,0.13333333333333333,1.0,1.0,0.4185303514376997,0.26666666666666666,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,2.0,0.0,0.5,0.0909090909090909,4.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.3888888888888889,0.5714285714285714,AFC,21,1564.49,CONCACAF,15,1633.72
34,Ecuador,Senegal,FIFA World Cup,Qatar,1,48,11,2022,0.2968421052631579,0.4,1.0,1.0,0.4419889502762431,0.375,1.0,1.5,0.3333333333333333,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.5294117647058824,CONMEBOL,46,1452.63,CAF,20,1584.16
35,Netherlands,Qatar,FIFA World Cup,Qatar,1,48,11,2022,0.4732142857142857,0.5208333333333334,1.0,2.0,0.39447731755424065,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.5,0.05555555555555555,0.26785714285714285,2.0,0.06818181818181815,0.6742424242424242,0.0,0.2222222222222222,0.5,UEFA,10,1658.66,AFC,51,1441.41
36,Australia,Denmark,FIFA World Cup,Qatar,2,48,11,2022,0.4420131291028446,0.13333333333333333,1.0,1.0,0.42334739803094235,0.42105263157894735,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,0.25,0.5,0.25,4.0,0.25,0.5,0.25,0.625,0.3333333333333333,AFC,42,1462.29,UEFA,11,1653.6
37,Tunisia,France,FIFA World Cup,Qatar,2,48,11,2022,0.3942652329749104,0.14285714285714285,1.0,0.5,0.47240915208613726,0.43636363636363634,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,0.0,0.5,0.5,4.0,0.0,0.5,0.5,0.6,0.4444444444444444,CAF,35,1499.8,UEFA,4,1764.85
38,Poland,Argentina,FIFA World Cup,Qatar,2,48,11,2022,0.4049247606019152,0.4827586206896552,1.0,1.0,0.49193548387096775,0.5,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,11.0,0.2727272727272727,0.5454545454545454,0.1818181818181818,11.0,0.2727272727272727,0.5454545454545454,0.1818181818181818,0.6666666666666666,0.6,UEFA,26,1544.2,CONMEBOL,4,1765.13
39,Saudi Arabia,Mexico,FIFA World Cup,Qatar,2,48,11,2022,0.448943661971831,0.23076923076923078,1.0,1.0,0.4656679151061174,0.3,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.0,0.0,0.8,0.2,5.0,0.0,0.8,0.2,1.0,0.46153846153846156,AFC,49,1444.69,CONCACAF,9,1658.82
40,Croatia,Belgium,FIFA World Cup,Qatar,3,48,12,2022,0.5015974440894568,0.5,1.0,1.5,0.43004418262150224,0.4222222222222222,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,8.0,0.375,0.375,0.25,8.0,0.375,0.375,0.25,0.5714285714285714,1.0,UEFA,16,1621.11,UEFA,2,1821.92
41,Canada,Morocco,FIFA World Cup,Qatar,3,48,12,2022,0.3545706371191136,0.0,1.0,0.0,0.44507575757575757,0.125,1.0,0.5,0.3333333333333333,0.0,1.0,0.0,3.0,0.0,0.6666666666666666,0.3333333333333333,3.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,CONCACAF,38,1479.0,CAF,24,1551.88
42,Japan,Spain,FIFA World Cup,Qatar,3,48,12,2022,0.42495784148397975,0.23809523809523808,1.0,1.0,0.5380952380952381,0.4666666666666667,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.45454545454545453,0.5454545454545454,AFC,23,1553.44,UEFA,7,1709.19
43,Costa Rica,Germany,FIFA World Cup,Qatar,3,48,12,2022,0.39399293286219084,0.3125,1.0,1.0,0.5307881773399015,0.5666666666666667,2.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2222222222222222,0.75,CONCACAF,31,1503.09,UEFA,12,1650.53
44,Ghana,Uruguay,FIFA World Cup,Qatar,4,48,12,2022,0.4363001745200698,0.3333333333333333,1.0,1.0,0.4163568773234201,0.3958333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,3.0,0.1428571428571428,0.6666666666666666,0.0,4.0,0.3333333333333333,0.3333333333333333,0.2863636363636364,0.38461538461538464,0.4666666666666667,CAF,60,1387.36,CONMEBOL,13,1635.73
45,South Korea,Portugal,FIFA World Cup,Qatar,4,48,12,2022,0.49370277078085645,0.2,1.0,1.0,0.46236559139784944,0.4444444444444444,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5909090909090909,0.6,AFC,29,1519.54,UEFA,8,1674.78
46,Serbia,Switzerland,FIFA World Cup,Qatar,4,48,12,2022,0.42124542124542125,0.3333333333333333,1.0,1.0,0.34221598877980364,0.3235294117647059,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.0,0.2,0.2,0.6,5.0,0.2,0.2,0.6,0.3333333333333333,0.2857142857142857,UEFA,25,1547.53,UEFA,14,1635.32
47,Cameroon,Brazil,FIFA World Cup,Qatar,4,48,12,2022,0.42234848484848486,0.19047619047619047,1.0,1.0,0.5924617196702002,0.6195652173913043,2.0,2.0,0.3333333333333333,0.0,1.0,0.0,6.0,0.1666666666666666,0.8333333333333334,0.0,6.0,0.1666666666666666,0.8333333333333334,0.0,0.5333333333333333,0.6666666666666666,CAF,37,1480.48,CONMEBOL,1,1832.69
